windspeed,date
1.550916418,2021-08-15 20:00:00
2.064674184,2021-08-15 21:00:00
1.978678436,2021-08-15 22:00:00
1.806906626,2021-08-15 23:00:00
1.643208919,2021-08-16 00:00:00
1.896802581,2021-08-16 01:00:00
2.259085088,2021-08-16 02:00:00
2.412082378,2021-08-16 03:00:00
2.429301851,2021-08-16 04:00:00
2.046795233,2021-08-16 05:00:00
1.692748436,2021-08-16 06:00:00
1.55340631,2021-08-16 07:00:00
1.841170314,2021-08-16 08:00:00
2.115263492,2021-08-16 09:00:00
2.10204822,2021-08-16 10:00:00
1.829628568,2021-08-16 11:00:00
1.522002539,2021-08-16 12:00:00
1.670563808,2021-08-16 13:00:00
2.178059796,2021-08-16 14:00:00
2.111489769,2021-08-16 15:00:00
1.693255215,2021-08-16 16:00:00
0.863074603,2021-08-16 17:00:00
0.995728466,2021-08-16 18:00:00
1.314641464,2021-08-16 19:00:00
1.202457791,2021-08-16 20:00:00
25.91295429781604,2021-08-16 21:00:00
1.689443255,2021-08-16 22:00:00
1.346554205,2021-08-16 23:00:00
1.195764281,2021-08-17 00:00:00
1.421925482,2021-08-17 01:00:00
1.794782333,2021-08-17 02:00:00
1.902600774,2021-08-17 03:00:00
1.988982768,2021-08-17 04:00:00
2.206898543,2021-08-17 05:00:00
2.026140349,2021-08-17 06:00:00
1.835928919,2021-08-17 07:00:00
2.32588932,2021-08-17 08:00:00
2.836068509,2021-08-17 09:00:00
2.778042926,2021-08-17 10:00:00
2.640776885,2021-08-17 11:00:00
2.651629136,2021-08-17 12:00:00
2.946192513,2021-08-17 13:00:00
3.047657325,2021-08-17 14:00:00
2.318335565,2021-08-17 15:00:00
2.233982283,2021-08-17 16:00:00
0.994175788,2021-08-17 17:00:00
2.528805202,2021-08-17 18:00:00
2.619238787,2021-08-17 19:00:00
2.207524126,2021-08-17 20:00:00
1.949766569,2021-08-17 21:00:00
1.536388896,2021-08-17 22:00:00
1.64210116,2021-08-17 23:00:00
1.585221739,2021-08-18 00:00:00
1.598296497,2021-08-18 01:00:00
1.797491115,2021-08-18 02:00:00
1.558435185,2021-08-18 03:00:00
1.425853652,2021-08-18 04:00:00
1.294527474,2021-08-18 05:00:00
0.625043925,2021-08-18 06:00:00
0.572006652,2021-08-18 07:00:00
0.467252287,2021-08-18 08:00:00
0.81048086,2021-08-18 09:00:00
1.562348696,2021-08-18 10:00:00
1.95245085,2021-08-18 11:00:00
1.795809752,2021-08-18 12:00:00
1.628906878,2021-08-18 13:00:00
1.595594696,2021-08-18 14:00:00
